epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2364.93,0.90011,0.41966,0.93402,0.97324,1,0.995,0.78471,0.835,0.34726,0.93585,0.000126543,0.000126543,0.000126543
43,2419.78,0.8816,0.41265,0.95503,0.97159,1,0.995,0.78384,0.84519,0.34474,0.93795,0.000124435,0.000124435,0.000124435
44,2472.75,0.90222,0.42413,0.93985,0.97199,1,0.995,0.78003,0.8524,0.34058,0.93888,0.000122326,0.000122326,0.000122326
45,2527.44,0.90702,0.42522,0.94446,0.97263,1,0.995,0.77831,0.84394,0.33353,0.93576,0.000120217,0.000120217,0.000120217
46,2582.13,0.89071,0.4035,0.93639,0.96493,0.99524,0.99151,0.78697,0.84069,0.33531,0.93645,0.000118108,0.000118108,0.000118108
47,2639.67,0.88204,0.39689,0.9224,0.96428,0.99419,0.99161,0.78538,0.83607,0.33505,0.93665,0.000116,0.000116,0.000116
48,2691.52,0.88625,0.40194,0.93113,0.95733,0.99419,0.99209,0.78605,0.82851,0.32249,0.9328,0.000113891,0.000113891,0.000113891
49,2743,0.88051,0.39364,0.93014,0.95497,0.98925,0.995,0.78214,0.83604,0.32324,0.93465,0.000111782,0.000111782,0.000111782
50,2795.4,0.89705,0.41862,0.92605,0.95778,0.98874,0.995,0.78024,0.844,0.32667,0.93683,0.000109674,0.000109674,0.000109674
51,2850.75,0.87905,0.405,0.92675,0.9634,0.9886,0.995,0.78919,0.8338,0.32521,0.93361,0.000107565,0.000107565,0.000107565
52,2901.75,0.87892,0.3839,0.94472,0.97113,0.98849,0.995,0.79298,0.82546,0.31523,0.93133,0.000105456,0.000105456,0.000105456
53,2957.98,0.88535,0.39471,0.94213,0.9661,1,0.995,0.78962,0.82806,0.30917,0.93262,0.000103348,0.000103348,0.000103348
54,3008.74,0.89183,0.39038,0.92902,0.9735,1,0.995,0.78489,0.83985,0.31307,0.93617,0.000101239,0.000101239,0.000101239
55,3060.95,0.88504,0.38631,0.93744,0.97122,1,0.995,0.7879,0.83126,0.31415,0.93406,9.91302e-05,9.91302e-05,9.91302e-05
56,3112.35,0.88565,0.38947,0.91063,0.95849,1,0.995,0.79267,0.82955,0.30812,0.93382,9.70215e-05,9.70215e-05,9.70215e-05
57,3164.12,0.87798,0.39372,0.92377,0.95349,0.98875,0.995,0.78624,0.82487,0.30687,0.93336,9.49128e-05,9.49128e-05,9.49128e-05
58,3222.04,0.88432,0.38705,0.9169,0.95013,0.98869,0.995,0.78931,0.8226,0.31089,0.93298,9.28041e-05,9.28041e-05,9.28041e-05
59,3275.78,0.87875,0.3964,0.92237,0.95625,0.98316,0.99151,0.79394,0.82367,0.31459,0.9334,9.06954e-05,9.06954e-05,9.06954e-05
60,3328.01,0.88772,0.384,0.95591,0.96872,0.98235,0.99267,0.79143,0.82515,0.30908,0.93367,8.85867e-05,8.85867e-05,8.85867e-05
61,3386.5,0.86729,0.36655,0.94049,0.96994,0.9823,0.99064,0.79295,0.82034,0.30085,0.93121,8.6478e-05,8.6478e-05,8.6478e-05
62,3438.75,0.86207,0.3684,0.91671,0.96941,0.9828,0.99209,0.78825,0.82878,0.30039,0.93378,8.43693e-05,8.43693e-05,8.43693e-05
63,3488.3,0.86223,0.37253,0.91149,0.9705,0.9829,0.98818,0.79046,0.82711,0.30413,0.93347,8.22606e-05,8.22606e-05,8.22606e-05
